algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,train_ITM_only,use_path,price,duration
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.45,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.05061683955397281,8.895121097564697
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0,6.934529542922974
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0,6.95099663734436
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0,7.455841064453125
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.55,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.039810481945310505,9.076420545578003
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.55,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.048471215004380425,8.702744483947754
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.55,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.028802889807205096,8.747553586959839
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.6000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.07362399761569155,8.627482891082764
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.6000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.06934922052193106,8.594929695129395
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.6000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.09240197968588322,8.630331993103027
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.65,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.12222110689367642,8.600495100021362
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.65,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.12196365653674916,8.786620140075684
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.65,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.13461446447820494,8.796314001083374
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.15840647730231255,8.617455959320068
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1608949449024673,8.583256244659424
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1776773304508881,8.52928352355957
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.19230935627821658,8.62993311882019
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.20116247301876286,8.654849290847778
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.17535964764533818,8.698755741119385
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.22301239247870014,8.666898012161255
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2285651834354133,8.702301979064941
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2083829806601824,8.702356100082397
